run,trace,n_tokens,mean_kl,median_kl,q90_kl,q95_kl,q99_kl,max_kl,above_005,above_005_rate,above_2,above_2_rate
No-think + no-clip,trace_0012_1552_gen12,1024,0.07428330819593047,0.0023129404289647937,0.1234421379864217,0.26067528426647113,1.577749838829038,6.525080680847168,182,0.177734375,6,0.005859375
Clipped,trace_0013_26589_gen13,1024,0.1575865664297233,0.0006004425522405654,0.309361869096756,0.5604355245828625,2.6416047811508143,21.889854431152344,288,0.28125,14,0.013671875
No-clip,trace_0013_26589_gen13,1024,0.13082804720156188,0.0015081081073731184,0.22794995903968837,0.5616404622793192,2.1716417765617364,20.82990074157715,250,0.244140625,13,0.0126953125
No-think + no-clip,trace_0013_26589_gen13,1024,0.08839434949322626,0.0023809216218069196,0.16323727369308474,0.4133999913930892,1.3595856559276576,6.863926410675049,212,0.20703125,7,0.0068359375
Clipped,trace_0014_1016_gen14,1024,0.13749607734842853,0.011413461063057184,0.269410127401352,0.4114912316203114,1.9102691805362686,17.27509117126465,383,0.3740234375,10,0.009765625
No-clip,trace_0014_1016_gen14,1024,0.07945625868249503,0.004135791445150971,0.1276944234967232,0.22740748375654204,0.7344335168600061,20.800905227661133,224,0.21875,3,0.0029296875
No-think + no-clip,trace_0014_1016_gen14,1024,0.040667811775140214,0.0011100043775513768,0.07890980616211891,0.14066632762551232,0.6047360163927078,6.976466178894043,153,0.1494140625,2,0.001953125
Clipped,trace_0015_18143_gen15,1024,0.19440548156814114,0.010073753073811531,0.38048682212829593,0.607110261917114,2.0928498911857605,32.55915832519531,388,0.37890625,12,0.01171875
No-clip,trace_0015_18143_gen15,1024,0.10805569610545326,0.005447410745546222,0.21475967168807997,0.41379445493221284,1.5557124269008544,20.310184478759766,264,0.2578125,5,0.0048828125
No-think + no-clip,trace_0015_18143_gen15,1024,0.0617610040200113,0.0022705727024003863,0.1252074278891087,0.23044523298740258,0.8086560922861095,4.232942581176758,195,0.1904296875,6,0.005859375
Clipped,trace_0016_8973_gen16,1024,0.23030235205270033,0.09428052976727486,0.3702065140008928,0.5683841377496712,2.4772078824043273,20.56575584411621,647,0.6318359375,15,0.0146484375
No-clip,trace_0016_8973_gen16,1024,0.17755572874945927,0.011003105901181698,0.19365766793489458,0.45813899338245373,3.8481821393966658,17.820579528808594,270,0.263671875,17,0.0166015625
No-think + no-clip,trace_0016_8973_gen16,1024,0.09436385109911283,0.0046822919975966215,0.19991797208786027,0.37710324972867904,1.7666365659236882,5.625761985778809,251,0.2451171875,9,0.0087890625
Clipped,trace_0017_7163_gen17,1024,0.07154739030334048,1.471556879550917e-05,0.14704890698194506,0.2628082931041712,0.6623997151851648,18.555469512939453,209,0.2041015625,3,0.0029296875
No-clip,trace_0017_7163_gen17,1024,0.08929986026543421,6.938324440852739e-05,0.13160247951745993,0.2829830542206762,1.4327323412895145,17.83160400390625,184,0.1796875,7,0.0068359375
No-think + no-clip,trace_0017_7163_gen17,1024,0.023224871466061718,1.480909668316599e-05,0.03333384469151497,0.08470523953437804,0.47959366202354226,4.452536582946777,73,0.0712890625,1,0.0009765625
Clipped,trace_0018_19466_gen18,1024,0.16896960195139182,0.08453509956598282,0.3519975602626801,0.4959074020385741,1.100606578588485,21.40691375732422,597,0.5830078125,3,0.0029296875
No-clip,trace_0018_19466_gen18,1024,0.1496459747514563,0.017404715530574322,0.26872069835662854,0.49856825619935785,1.2494506669044494,19.626609802246094,348,0.33984375,6,0.005859375
No-think + no-clip,trace_0018_19466_gen18,816,0.08725333732696329,0.0007013677386566997,0.2042812556028366,0.37130479514598846,1.0164337754249575,8.927998542785645,207,0.2536764705882353,3,0.003676470588235294
Clipped,trace_0019_12834_gen19,1024,0.16956999260418626,0.0010334870894439518,0.363398712873459,0.5559244066476822,1.4444222879409776,23.29623794555664,348,0.33984375,6,0.005859375
No-clip,trace_0019_12834_gen19,1024,0.14118696177937465,1.935444015543908e-05,0.15360317081213,0.3066991075873374,2.067343826293945,21.028963088989258,176,0.171875,12,0.01171875
No-think + no-clip,trace_0019_12834_gen19,499,0.08165338622004438,9.188776311930269e-05,0.140610733628273,0.30601610541343677,0.8953123855590813,9.862509727478027,87,0.1743486973947896,2,0.004008016032064128
Clipped,trace_0020_20387_gen20,1024,0.14863914947210904,0.013974785339087248,0.31410278975963607,0.525950616598129,1.1867325389385222,19.033748626708984,401,0.3916015625,6,0.005859375
No-clip,trace_0020_20387_gen20,1024,0.08954148830748612,0.0030336660565808415,0.15467508286237747,0.34187892973422973,1.2614688003063186,19.064319610595703,222,0.216796875,4,0.00390625
